R1,G1,B1,R2,G2,B2,DELTA_E,SIMILARITY
227,223,101,166,152,159,37.615976494969,2
204,199,93,166,194,31,8.67706950074441,2
210,150,153,208,100,109,13.525038768370132,0
81,48,73,48,136,102,45.04323807150382,0
129,14,47,209,49,55,19.654545843874,2
55,41,49,68,62,66,7.904653580450004,0
66,136,190,53,65,83,27.47746698759405,0
149,189,161,33,123,87,25.285862665510855,1
220,87,86,12,70,43,58.79378619737872,0
99,74,69,37,119,109,36.59542554709015,2
36,31,25,203,57,61,37.35658835224733,2
230,231,87,38,58,107,79.80381701841064,2
205,135,151,68,84,96,40.812942025863315,2
66,66,66,58,58,58,2.6305164769736478,2
101,89,126,148,209,204,45.24199163316781,0
75,46,50,63,160,96,53.59570798865529,2
145,146,154,83,85,140,27.547657036264468,2
179,22,27,85,138,194,48.20961313484668,1
163,199,221,185,175,176,19.557596671365253,0
222,138,161,232,112,117,11.033752411881382,2
54,80,65,26,187,95,40.10350670259133,0
70,50,114,54,91,72,33.91940151676381,2
196,199,69,157,182,193,35.268275867446036,1
156,147,155,193,175,186,9.755607250796468,2
116,131,119,68,67,96,30.7755537307982,0
57,106,157,148,204,179,41.39214571496469,1
66,65,63,56,91,141,21.89570367316368,2
222,61,68,193,130,142,19.069470245885068,1
74,96,65,30,31,32,25.838122850911947,0
240,42,29,39,37,36,41.99257011461869,1
12,153,72,68,68,85,41.51031960113183,2
193,56,70,52,52,52,32.14569059226017,2
76,180,171,48,84,142,41.78797627003234,2
78,135,184,26,54,158,27.059081930873276,1
202,136,145,199,200,197,26.29616742082637,2
224,216,43,219,39,65,62.799944501797775,2
39,30,139,8,158,199,44.765061658114995,2
48,48,52,29,28,30,6.4199582329789155,2
102,157,117,107,53,57,52.565495206978134,0
157,182,193,15,75,152,41.58938006891013,2
204,19,6,58,52,57,33.85458967942493,2
182,33,33,101,89,126,32.055889652327956,2
207,197,53,39,30,29,68.98826052479619,0
193,132,137,69,50,59,36.308255044805286,2
64,56,110,18,69,46,33.66966912068625,1
84,80,82,224,107,86,34.18286860542906,1
205,111,110,88,151,203,40.753423796508734,2
38,46,74,207,113,128,42.797734658812686,1
210,207,198,85,115,101,33.83196287225892,2
33,33,41,210,198,106,70.49947882483487,2
224,200,22,154,164,80,17.402114972728295,2
54,53,56,90,92,95,13.10790977485513,0
73,109,94,68,62,43,21.473511704452033,0
156,173,39,30,47,43,52.17170594480215,0
95,58,94,27,175,113,53.786014151826194,2
40,80,81,79,73,74,20.740529731539674,2
38,49,84,196,77,82,39.26728145881572,2
56,31,45,118,58,150,23.75939357499707,2
16,41,96,55,41,49,18.79389554141222,1
54,31,64,46,48,52,17.27049367114316,0
